k	min_res_srk	min_res_esrk	min_res_hb_double_inexact	min_res_hb_opt_beta	max_res_srk	max_res_esrk	max_res_hb_double_inexact	max_res_hb_opt_beta	median_res_srk	median_res_esrk	median_res_hb_double_inexact	median_res_hb_opt_beta	quant25_res_srk	quant25_res_esrk	quant25_res_hb_double_inexact	quant25_res_hb_opt_beta	quant75_res_srk	quant75_res_esrk	quant75_res_hb_double_inexact	quant75_res_hb_opt_beta
17001	0.000210641023284509	2.90768027645936e-05	2.74157563507763e-05	2.10568483496407e-05	0.00694658766142265	0.0016911194891913	0.00153234309135018	0.00132847934853617	0.00118000446235681	0.000171272040378417	0.000168606494969439	0.000160513539530131	0.000655731748926667	7.09562572463213e-05	6.80864990938412e-05	7.81966560008025e-05	0.00200765319410457	0.000386328521519136	0.000371984520810579	0.000359945727486211
18001	0.000156031848118078	1.90181802157533e-05	1.78680861938774e-05	1.42564043776779e-05	0.0060930149352801	0.00141462987414969	0.00130437752118813	0.00109705529422647	0.00101005028353772	0.000125250039923671	0.000123986337393145	0.000120321568205743	0.000499462848462499	5.66932902141711e-05	4.97903479045593e-05	5.33443814716979e-05	0.00179701603122258	0.000317236140800902	0.000303020007941136	0.000283715237233173
19001	0.000111398647794409	1.2149267432505e-05	1.13899262840817e-05	9.17006916681255e-06	0.0054359815094062	0.00128034923601593	0.00125019246781164	0.00102444121240998	0.000843701055941961	9.90810223425816e-05	9.8535402956391e-05	9.60079691525697e-05	0.000398251931179166	4.21482420916936e-05	3.71080746222675e-05	4.01397282111829e-05	0.00154597784863754	0.000254611623949504	0.000244597223374695	0.000225462533273221
20001	8.73806862286384e-05	8.5168440329889e-06	8.01843488387367e-06	6.36241142240994e-06	0.00486597520313523	0.00120536669868394	0.00116042939140497	0.000989362685461545	0.000717568986403195	7.6685521296692e-05	7.65115451044537e-05	7.15998126475168e-05	0.000318504782262308	2.97741145786376e-05	2.64499192453373e-05	2.96150624713602e-05	0.00135307451144042	0.000215569203020773	0.000208638099907056	0.000185287491944091
21001	6.95146477037443e-05	6.01425004191061e-06	5.51640234121434e-06	4.06058225042186e-06	0.00468747608617072	0.00107624221273458	0.00109379315328384	0.000892017596253259	0.000613995178109909	5.97676632860534e-05	5.7751953378281e-05	5.20286255650375e-05	0.000250830747830866	2.26619597577493e-05	1.98685010594794e-05	2.30539272869954e-05	0.00118122410833153	0.000180803777857154	0.000168318570525798	0.000152063667638909
22001	5.10214459775808e-05	3.9495646701415e-06	3.64810857724567e-06	2.83574150304846e-06	0.00404578797258996	0.00101050719097355	0.00104141940861268	0.000799133459831707	0.000515787635204648	4.44158365392442e-05	4.47903776926595e-05	4.23128062745756e-05	0.000211758129143633	1.76406350735261e-05	1.51659379367299e-05	1.70424483241766e-05	0.00104261868253127	0.000158150996868017	0.000145477830299283	0.000127257378007251
23001	3.72962162969898e-05	2.64924697958147e-06	2.43348755336039e-06	1.89040472064482e-06	0.00355098226853125	0.000867768347176744	0.000893218227107527	0.00069380070940612	0.000456585931516491	3.37506002366166e-05	3.45255510895e-05	3.23526807183632e-05	0.000168934312126461	1.24396146966465e-05	1.0661695413755e-05	1.29620986065427e-05	0.000942285056558272	0.000133508911539307	0.000122403134031357	0.000103359359940452
24001	2.84944811962699e-05	1.8127681772055e-06	1.6307284440388e-06	1.28026488847583e-06	0.00333393916969541	0.000809226952998844	0.000848694087176002	0.000654285693634792	0.000378386765112445	2.57394626400491e-05	2.57525629684463e-05	2.54233997483535e-05	0.000140979041700551	8.74197976030582e-06	8.20212879701022e-06	9.73865408471358e-06	0.000827843417390683	0.000113304968774717	0.000105442225262281	9.0599823569959e-05
25001	2.12792657961256e-05	1.21705691364909e-06	1.12153210900589e-06	9.38145874936345e-07	0.00310045378679108	0.000740120203614097	0.000743946952385256	0.000554416415217938	0.000319390214415133	1.92901196442359e-05	1.879980351161e-05	1.97008944252739e-05	0.000115118890449405	7.28999715200266e-06	6.19078798388285e-06	7.08221416529416e-06	0.000733727724596606	9.00336327157601e-05	8.32053452872184e-05	7.02940245999182e-05
26001	1.62223990808312e-05	8.12331675976067e-07	7.65613921777371e-07	6.91762676251968e-07	0.0028506523243612	0.000683502981805975	0.000682651617822637	0.000530847420937962	0.000273972968701967	1.5164705520203e-05	1.46385261383094e-05	1.5330660048495e-05	9.08742309794162e-05	5.04816127207424e-06	4.48718918730925e-06	5.21357280957122e-06	0.000646147092475284	7.66366379084897e-05	7.09685956965014e-05	5.53903067078866e-05
