k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
441	0.005045913	0.013157966	0.00754918800000001	0.010005408	0.00712845200000001	0.005982168	0.005680311	0.005240787	0.005453676	0.00553385000000001	0.575555354133287	0.400281454381764	0.382790220205183	0.400259534080406	0.541475497743632	0.497489687409526	0.458962878029197	0.446085333697308	0.485337728850507	0.572531827153805
451	0.00511112	0.013219165	0.00766773300000001	0.010067798	0.00728808400000001	0.006074036	0.005766814	0.005326359	0.005539546	0.00561954400000001	0.56470507534761	0.4002739962195	0.382805871136591	0.400259534080406	0.534141554919781	0.494908136366719	0.458711998726475	0.446178216778867	0.485337728850508	0.572615658218448
461	0.005174443	0.01336524	0.00777850000000001	0.010130827	0.00738881600000001	0.006163823	0.005855422	0.005419089	0.005631647	0.005708382	0.56470507534761	0.39265353074449	0.374832291146466	0.392638787919442	0.534214864317215	0.495115314994142	0.458954878881692	0.446284342971981	0.485337728850508	0.572948405719947
471	0.005275546	0.013612612	0.00793945800000001	0.010274145	0.00751753900000001	0.006285096	0.005953861	0.005522479	0.005739189	0.005841557	0.538607053238772	0.392651410677543	0.374862082922911	0.392638787919442	0.509133528440264	0.474890128517502	0.445292248952543	0.440847581490673	0.485288304635341	0.570296276424718
481	0.005369522	0.013844203	0.00806965100000001	0.010376926	0.00764510300000001	0.006399554	0.006071998	0.005608925	0.005909731	0.005951392	0.537967632041846	0.38477195228135	0.364460990600077	0.383007615316325	0.508876743311445	0.474818817253642	0.445282126130213	0.440847379139487	0.484374928625866	0.568032399142349
491	0.005534436	0.014235297	0.00823714300000001	0.010641249	0.00779419800000001	0.006493099	0.006178808	0.00581684	0.00600096	0.00605418200000001	0.537967632041846	0.38477195228135	0.36421341295563	0.383007615316325	0.508876743311287	0.47481881723406	0.445282126042148	0.440847379124686	0.482191393998886	0.566362371631476
501	0.005601992	0.014259373	0.008359669	0.010709544	0.00792046800000001	0.00660001799999999	0.006283911	0.005910645	0.006105273	0.006178694	0.502860297206548	0.366227769743922	0.361053308590573	0.364373650885329	0.464727256076106	0.433668735232173	0.417576776667326	0.429578995403946	0.48210325746683	0.562231179784446
511	0.005706123	0.014434211	0.008531533	0.010883225	0.00808824700000001	0.00672216699999999	0.006412977	0.006076381	0.006230427	0.006301339	0.492450581316134	0.315090052092305	0.305531052837662	0.314416873995279	0.453657226140713	0.418229392393796	0.387093124675264	0.378058652161794	0.418373823075802	0.519688822558962
521	0.005802394	0.014732071	0.008681422	0.0110777	0.00820855000000001	0.00683233399999999	0.006515354	0.006176111	0.006352416	0.006405036	0.475500746063956	0.312854654404102	0.304435401202742	0.312176655930167	0.442389017467149	0.410314593721171	0.375852589632056	0.36458308735547	0.409768662337499	0.523064390082979
531	0.005939807	0.015080419	0.00891199	0.011268609	0.00840169700000001	0.00696827299999999	0.006677363	0.006309487	0.006477356	0.006530781	0.475500746063956	0.309364578615975	0.300848345927953	0.308678914452658	0.442389010273082	0.408901897929941	0.369215637370935	0.35359199538776	0.405927061204431	0.535131700513125
541	0.00609923	0.0153556	0.009108351	0.011450502	0.00859821600000001	0.00711705299999999	0.006806733	0.006430748	0.006601592	0.006653129	0.458058747382179	0.309107144212019	0.29888338751333	0.30726860307013	0.42765801588458	0.394010356427331	0.357122044885425	0.349778955673905	0.405517699559405	0.525862388545277
551	0.006207938	0.01567557	0.009331664	0.011806193	0.00879408600000001	0.00735765099999999	0.00693511700000001	0.006550009	0.00671845	0.006765091	0.457569638579301	0.309107144212019	0.298882477446196	0.30726860307013	0.427532437273669	0.394059199332376	0.357657006710216	0.350531371361154	0.405554530331878	0.544740528768732
561	0.006327324	0.015709343	0.009460566	0.011876999	0.00896580100000001	0.00756938599999999	0.00703846000000001	0.006683181	0.006833047	0.006897634	0.457569638579301	0.305356807643069	0.292771554008517	0.303511941309888	0.427532437275181	0.394059199967743	0.357657030026488	0.350531622143935	0.405594260757635	0.541813365494244
