k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1001	0.01467664	0.048767261	0.022370773	0.040332533	0.020206003	0.016672157	0.015370673	0.01579418	0.015926361	0.015622774	0.287741566493103	0.211911417253532	0.207524499688987	0.208225701734565	0.269827469939458	0.265623918736839	0.25672409251011	0.24865149801603	0.325800271200944	0.52947848643386
1101	0.015899027	0.051342793	0.027007567	0.043327293	0.021822724	0.01828452	0.01681528	0.017077843	0.017324275	0.017150595	0.26494970128306	0.0354332647767884	0.0169626780072981	0.0198855031181273	0.237344409761595	0.215302771323046	0.182082244850868	0.140891426107013	0.240051206492918	0.500470532987989
1201	0.017447003	0.055561673	0.029791387	0.047443165	0.024614657	0.020421624	0.018759266	0.019390328	0.01920105	0.01909712	0.167758412158388	0.0216458227557859	0.0147341636262849	0.0189608178006493	0.156166797069826	0.152796513921151	0.138274225915985	0.109079860955235	0.217546902840442	0.570920626146067
1301	0.019015853	0.0590824599999999	0.032612109	0.050068715	0.0268772890000001	0.022497112	0.020650016	0.021185068	0.021297101	0.021068595	0.1385960296731	0.00842423397866384	0.00819082883703129	0.00954226844369371	0.11510533352502	0.105164451680607	0.109118378823637	0.0992529830702817	0.16841244564943	0.502298975788036
1401	0.020430174	0.0621495569999999	0.034738929	0.052195092	0.0288493960000001	0.024154506	0.022081401	0.022721563	0.0228808	0.022882042	0.124449343819892	0.00665822350738142	0.00708370403618604	0.00570920463940929	0.100903169544072	0.0875625040691413	0.0900391475258559	0.0805985322464333	0.162955974362841	0.619350280004388
1501	0.021319408	0.0645143309999999	0.036275819	0.053702441	0.0303031880000001	0.025465771	0.023317706	0.023923501	0.024142484	0.024049429	0.118579739684847	0.0064719853501723	0.00658655466620098	0.00280242265496412	0.0960913598484062	0.0712160979339283	0.0692980610329408	0.0738332325338802	0.160718534300555	0.626034833579696
1601	0.022594604	0.0681878599999999	0.038887123	0.056374514	0.0322269220000001	0.026962693	0.025077973	0.025469867	0.025445204	0.025392265	0.101024666601111	0.00534765840560034	0.00344521143633883	0.00099278702213441	0.0885294670758362	0.0677135442843376	0.0600686133405484	0.0636870570676737	0.159494002720813	0.627598962214048
1701	0.023316855	0.0701346529999999	0.040122011	0.0579166859999999	0.0333809940000001	0.027967226	0.026085697	0.0264088410000001	0.026509929	0.02642623	0.0829947283187527	0.00472647664994269	0.00258118220485978	0.000201530753910605	0.0737802845069719	0.0521951413319833	0.0367574292175442	0.0449685343199803	0.156306541815781	0.63907240445531
1801	0.024063001	0.0718014359999998	0.04128205	0.0590374399999999	0.0344157890000001	0.028863975	0.02701689	0.0272977630000001	0.027406889	0.02732063	0.080487316003062	0.00438410519971595	0.00136161888180837	0.000161607465329646	0.0717465866491926	0.0498972168458131	0.0353664784386348	0.0426984443983444	0.153642762716692	0.682800349476142
1901	0.024693127	0.0733331529999998	0.042385326	0.0600615829999999	0.0354098100000001	0.029778524	0.028012248	0.0281642140000001	0.028286521	0.028261017	0.0784228348729215	0.00452334856742541	0.000939855925228128	0.000169897083250733	0.0700096555654246	0.0455746897173372	0.0281579923707556	0.0319978869478884	0.151644062593688	0.693096541770688
2001	0.025359791	0.0743714269999997	0.04346305	0.0608467759999999	0.0363894900000001	0.030682795	0.028894331	0.0290776060000001	0.029159605	0.029138047	0.0774144809060315	0.00411731176732487	0.00054568569961304	3.47982133156145e-05	0.0693793096544554	0.0424971793548258	0.025732386608485	0.030975679876201	0.150815353149807	0.710569863182406
2101	0.026008689	0.0756679399999998	0.044582704	0.0620107809999998	0.0374317450000001	0.03161557	0.02983761	0.0299895240000001	0.0300707440000001	0.0300557	0.0760138412099908	0.0030930097718861	0.000283573104042203	2.87891486017291e-05	0.0687784389626525	0.041652751650188	0.0193611599602703	0.0281433226449359	0.14808281139251	0.605834093018989
2201	0.026799579	0.0780197489999998	0.0462375	0.0631357739999998	0.0387200400000001	0.032730351	0.030990136	0.0311478720000001	0.0311489710000001	0.031121149	0.0741777143009686	0.0030184991116598	0.000262808186119617	2.82297073889625e-05	0.0676224309246906	0.0363104834967442	0.0175534609165898	0.0267537172258427	0.143669743101183	0.546989031540799
2301	0.027479619	0.0793886779999998	0.04738766	0.0640427509999997	0.0397618980000001	0.0336629109999999	0.031949917	0.0321245220000001	0.03206953	0.032082003	0.0643368373049172	0.00285097189483522	0.000156145226672231	2.8040618325073e-05	0.0377064252846073	0.0173661593045905	0.0128743968632908	0.0209417356477165	0.139859158156581	0.559801740122874
2401	0.028145631	0.0805164369999997	0.048553742	0.0647636869999998	0.0408069950000002	0.034636971	0.032851293	0.0331176360000001	0.032988957	0.033009302	0.0636727629764896	0.00231852548079981	0.000155799340387394	2.79594970891114e-05	0.0342435221216367	0.0159441492788412	0.0123734021899075	0.0200075039990115	0.13667455993729	0.577413533240917
