k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1001	0.012653505	0.0605697620000001	0.017145098	0.044818837	0.013993343	0.00893832499999998	0.008578771	0.00862461800000001	0.010888162	0.00821229999999999	0.287741566493103	0.211911417253532	0.207522271035665	0.206350764513554	0.269827469939458	0.265623918736839	0.25672409251011	0.24865149801603	0.325800271200944	0.52947848643386
1101	0.013573073	0.0628828250000001	0.018619774	0.048280009	0.015267912	0.00996459299999999	0.00955592899999999	0.00958567700000001	0.011860713	0.00917413099999999	0.26494970128306	0.0354332647767884	0.0170258128203724	0.0140006813664565	0.237344409761595	0.215302771323046	0.182082244850868	0.140891426107013	0.240051206492918	0.500470532987989
1201	0.014151458	0.0639541470000001	0.019607198	0.05048077	0.016091063	0.010693751	0.01027197	0.010294102	0.012586836	0.00988243999999999	0.167758412158388	0.0216458227557859	0.0147994676232828	0.0146522821091547	0.156166797069826	0.152796513921151	0.138274225915985	0.109079860955235	0.217546902840442	0.570920626146067
1301	0.014865279	0.0654892720000001	0.020835137	0.05352838	0.017110575	0.011705781	0.011135244	0.011151268	0.013430494	0.01071497	0.1385960296731	0.00842423397866384	0.00843759071025135	0.006092937885131	0.11510533352502	0.105164451680607	0.109118378823637	0.0992529830702817	0.16841244564943	0.502298975788036
1401	0.015720531	0.0673229060000001	0.022404729	0.0569243880000001	0.018232689	0.012676485	0.012068736	0.012086412	0.014412554	0.011645054	0.124449343819892	0.00665822350738142	0.00733180297167979	0.00457300982775804	0.100903169544072	0.0875625040691413	0.0900391475258559	0.0805985322464333	0.162955974362841	0.619350280004388
1501	0.016509888	0.0692170790000001	0.023744714	0.0599179900000001	0.019329565	0.013691988	0.012935158	0.013051308	0.01534465	0.012514537	0.118579739684847	0.0064719853501723	0.0068418360991222	0.00666622512268567	0.0960913598484062	0.0712160979339283	0.0692980610329408	0.0738332325338802	0.160718534300555	0.626034833579696
1601	0.017625287	0.0718591390000001	0.025394597	0.0642864400000001	0.020772624	0.014871967	0.014216336	0.014237575	0.01649301	0.013667561	0.101024666601111	0.00534765840560034	0.00467941574421873	0.00441446460111604	0.0885294670758362	0.0677135442843376	0.0600686133405484	0.0636870570676737	0.159494002720813	0.627598962214048
1701	0.018359408	0.07371842	0.02669457	0.0673592490000001	0.021889609	0.015823751	0.015112234	0.015186533	0.017404327	0.01460836	0.0829947283187527	0.00472647664994269	0.00406673394239943	0.00378818643688254	0.0737802845069719	0.0521951413319833	0.0367574292175442	0.0449685343199803	0.156306541815781	0.63907240445531
1801	0.019131541	0.07552209	0.028028816	0.0704567510000001	0.023016516	0.016797955	0.016069281	0.016156667	0.018347468	0.015585404	0.080487316003062	0.00438410519971595	0.00337761654875137	0.00310746452138094	0.0717465866491926	0.0498972168458131	0.0353664784386348	0.0426984443983444	0.153642762716692	0.682800349476142
1901	0.019888321	0.077410182	0.029439048	0.073812559	0.024131534	0.01783689	0.017000837	0.017082488	0.019347967	0.016522475	0.0784228348729215	0.00452334856742541	0.00321373841259677	0.00300434889064901	0.0700096555654246	0.0455746897173372	0.0281579923707556	0.0319978869478884	0.151644062593688	0.693096541770688
