k	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
161	0.635525065122155	0.255617307807307	0.264705864757531	0.288176678779557	0.620649909775361	0.593722029182905	0.523633050592306	0.418415673456412	0.296584691830128	0.274964851885399
171	0.630921585651458	0.255617307807307	0.264705918868015	0.29298678939061	0.618895307234054	0.593276858782067	0.523574353749004	0.41841479697264	0.296577815583737	0.275020863017462
181	0.581422106287956	0.170735529354915	0.250215275797336	0.27570502691966	0.538012906846878	0.474280742993193	0.399415639470437	0.329884667745783	0.268311342765975	0.271484640817135
191	0.452067418246533	0.170735529354915	0.208690904373183	0.236976218270938	0.396368398139025	0.348135987226868	0.32819587367194	0.312434478324671	0.261669547132636	0.265849514213354
201	0.429015780245711	0.0991794245757618	0.138830673605308	0.247448262117651	0.385448094720637	0.346433930075807	0.330483014859295	0.313509924546408	0.261704739379879	0.265577661998371
211	0.414694348102366	0.0991794245757618	0.112471241995195	0.273029866924329	0.359353813504116	0.303270083086124	0.27374606381072	0.266114835035524	0.261704773879269	0.258907135110616
221	0.412752408558062	0.0991794245757618	0.112464079541495	0.273085636942516	0.355132356772297	0.297545919247278	0.268990027421348	0.264427848044941	0.26170477391296	0.258872378686787
231	0.41267932060926	0.09848912058913	0.112464162472419	0.260009377682023	0.35509770167831	0.297432382719	0.268782098427195	0.264276057902633	0.261704773912993	0.258848871629624
241	0.412674752182664	0.084949000956406	0.112464162471985	0.261634250360322	0.355097105862868	0.297432354774909	0.268782097287782	0.264276044626547	0.261704773912993	0.25884844836289
251	0.413061511066284	0.084949000956406	0.11256229277544	0.349308335060443	0.355166390127044	0.297011211973341	0.268339089843061	0.264116767423096	0.261704773912993	0.258413555401689
261	0.413957397642783	0.084949000956406	0.11268281703659	0.318268796161484	0.356055000336093	0.297573842641038	0.26849688594068	0.264125719808785	0.261704773912993	0.258978340024529
271	0.414043591434756	0.084949000956406	0.112692398715286	0.318291305547293	0.356106638289726	0.297591532676129	0.268498870972277	0.264125972254303	0.261704773912993	0.258799291172998
281	0.413603332658047	0.084949000956406	0.110974213589564	0.318710113162813	0.355995311787423	0.297576347026885	0.260054680115909	0.244554942048481	0.265414525693065	0.337004023828076
291	0.413603332658047	0.084949000956406	0.11097421370857	0.363577883967906	0.355987518563861	0.297574112357742	0.260052088420344	0.244548792881576	0.265973873631613	0.341716940072581
301	0.413603275680603	0.084949000956406	0.110570131050669	0.354367438327837	0.355987514751195	0.297574112292539	0.260052088405256	0.244548786774436	0.253074304084003	0.292803516685265
311	0.413795789365699	0.084949000956406	0.110570618857751	0.314077179803429	0.356094203340933	0.297614172906335	0.260055296043286	0.244548785471111	0.253069556933251	0.292825106665195
321	0.413795775127964	0.0840406149170599	0.110570619749469	0.311722871745945	0.356096640924753	0.29761546815068	0.260055375089726	0.244548784602722	0.253069552337593	0.292858003684397
331	0.414472377257084	0.0840406149170599	0.0793318081308658	0.258458042849704	0.356484423654036	0.297763479739158	0.251776500125609	0.233708456074688	0.242505779245279	0.283905998256989
341	0.414472377257084	0.0840406149170599	0.0793890598859378	0.257582286365676	0.35653120303702	0.297802502426484	0.251617860424969	0.233653161072104	0.242546848423911	0.284510521598536
351	0.314335347511977	0.0643529467312142	0.0597644902784593	0.206860152066319	0.277043143274153	0.245970789001464	0.232521806278855	0.230867173296382	0.241891002803345	0.276034355536115
